date,index_type,index_norm
2024-04-01,Overall PCE,124.02188012186906
2024-05-01,Overall PCE,124.02891876401445
2024-06-01,Overall PCE,124.22097314255262
2024-07-01,Overall PCE,124.4190606429297
2024-08-01,Overall PCE,124.57290524982152
2024-09-01,Overall PCE,124.84942333410424
2024-10-01,Overall PCE,125.1812450352435
2024-11-01,Overall PCE,125.3250344390705
2024-12-01,Overall PCE,125.66892238388756
2025-01-01,Overall PCE,126.10934027812695
2025-02-01,Overall PCE,126.61612251259416
2025-03-01,Overall PCE,126.6362329187238
2025-04-01,Overall PCE,126.84638666277867
2025-05-01,Overall PCE,127.07765633326966
2025-06-01,Overall PCE,127.44266020452284
2025-07-01,Overall PCE,127.66085811102957
2025-08-01,Overall PCE,127.99569637308828
2025-09-01,Overall PCE,128.32952911484048
2025-10-01,Overall PCE,128.53364973705646
2025-11-01,Overall PCE,128.80011261827434
